epoch	word_acc	length_acc	first_char_acc	second_char_acc	last_but_1_char_acc	last_char_acc
179	0.798	0.999	0.9928934010152284	0.9725888324873097	0.9796954314720813	0.9928934010152284
180	0.811	0.998	0.991869918699187	0.9776422764227642	0.9847560975609756	0.9939024390243902
181	0.801	0.997	0.9928934010152284	0.9756345177664975	0.983756345177665	0.9928934010152284
182	0.81	0.998	0.9928934010152284	0.9766497461928934	0.9807106598984772	0.9908629441624366
183	0.807	0.996	0.9928861788617886	0.9806910569105691	0.9796747967479674	0.9908536585365854
184	0.804	0.998	0.9939086294416244	0.9776649746192894	0.9817258883248731	0.9939086294416244
185	0.808	0.998	0.9928861788617886	0.9766260162601627	0.9827235772357723	0.9908536585365854
186	0.812	0.997	0.9928861788617886	0.975609756097561	0.9827235772357723	0.9908536585365854
187	0.814	0.999	0.9908536585365854	0.9786585365853658	0.983739837398374	0.9928861788617886
188	0.818	1.0	0.9898477157360406	0.9786802030456853	0.983756345177665	0.9928934010152284
189	0.8	1.0	0.9908629441624366	0.9786802030456853	0.9796954314720813	0.9908629441624366
190	0.816	0.999	0.9918781725888325	0.9786802030456853	0.9827411167512691	0.9918781725888325
191	0.805	0.998	0.9888324873096447	0.9736040609137055	0.9807106598984772	0.9918781725888325
192	0.815	0.999	0.9928934010152284	0.9776649746192894	0.9827411167512691	0.9949238578680203
193	0.822	0.999	0.9928934010152284	0.9786802030456853	0.983756345177665	0.9908629441624366
194	0.781	0.999	0.9908629441624366	0.9766497461928934	0.9796954314720813	0.9908629441624366
195	0.823	1.0	0.9918781725888325	0.9766497461928934	0.9847715736040609	0.9939086294416244
196	0.801	0.999	0.9918781725888325	0.9736040609137055	0.9807106598984772	0.9918781725888325
197	0.795	0.998	0.9908536585365854	0.975609756097561	0.983739837398374	0.9928861788617886
198	0.825	0.999	0.9939086294416244	0.9796954314720813	0.9847715736040609	0.9928934010152284
199	0.83	0.998	0.9939086294416244	0.9796954314720813	0.983756345177665	0.9908629441624366
200	0.832	1.0	0.9928934010152284	0.9786802030456853	0.9847715736040609	0.9949238578680203
201	0.829	1.0	0.9939086294416244	0.9786802030456853	0.9827411167512691	0.9918781725888325
202	0.819	0.999	0.9939086294416244	0.9807106598984772	0.9827411167512691	0.9928934010152284
203	0.823	0.998	0.9918781725888325	0.9786802030456853	0.9827411167512691	0.9918781725888325
204	0.828	0.999	0.9949238578680203	0.9786802030456853	0.9857868020304569	0.9949238578680203
205	0.818	0.999	0.9918781725888325	0.9796954314720813	0.9817258883248731	0.9918781725888325
206	0.818	1.0	0.9949238578680203	0.9776649746192894	0.9817258883248731	0.9939086294416244
207	0.821	0.999	0.9928861788617886	0.9786585365853658	0.9827235772357723	0.9928861788617886
208	0.821	1.0	0.9918781725888325	0.9766497461928934	0.9807106598984772	0.9939086294416244
209	0.81	0.998	0.9928934010152284	0.9776649746192894	0.9786802030456853	0.9928934010152284
210	0.829	1.0	0.9918781725888325	0.9796954314720813	0.9817258883248731	0.9918781725888325
211	0.839	1.0	0.9949238578680203	0.9766497461928934	0.983756345177665	0.9928934010152284
212	0.825	0.999	0.9939086294416244	0.9786802030456853	0.9796954314720813	0.9928934010152284
213	0.835	0.999	0.9949238578680203	0.983756345177665	0.9796954314720813	0.9908629441624366
214	0.837	1.0	0.9928934010152284	0.9847715736040609	0.9807106598984772	0.9908629441624366
215	0.549	0.897	0.9624365482233502	0.8964467005076142	0.8710659898477158	0.884263959390863
216	0.834	0.998	0.9949238578680203	0.9807106598984772	0.9786802030456853	0.9908629441624366
217	0.839	0.999	0.9928934010152284	0.9817258883248731	0.9817258883248731	0.9928934010152284
218	0.854	0.999	0.9928934010152284	0.9807106598984772	0.983756345177665	0.9928934010152284
219	0.838	0.998	0.9918781725888325	0.9817258883248731	0.9817258883248731	0.9918781725888325
220	0.843	1.0	0.9939086294416244	0.983756345177665	0.983756345177665	0.9928934010152284
221	0.833	0.998	0.9939086294416244	0.9786802030456853	0.9817258883248731	0.9939086294416244
222	0.829	1.0	0.9928934010152284	0.9766497461928934	0.983756345177665	0.9939086294416244
223	0.836	1.0	0.9918781725888325	0.9796954314720813	0.9847715736040609	0.9939086294416244
224	0.832	0.999	0.9939086294416244	0.9796954314720813	0.9807106598984772	0.9928934010152284
225	0.802	0.984	0.9868020304568528	0.9695431472081218	0.965482233502538	0.9786802030456853
226	0.854	0.999	0.9939086294416244	0.9807106598984772	0.9827411167512691	0.9908629441624366
227	0.845	1.0	0.9949238578680203	0.9796954314720813	0.983756345177665	0.9928934010152284
228	0.849	0.999	0.9939086294416244	0.9766497461928934	0.983756345177665	0.9939086294416244
229	0.825	0.998	0.9898477157360406	0.9725888324873097	0.9807106598984772	0.9878172588832488
230	0.841	1.0	0.9939086294416244	0.9796954314720813	0.9857868020304569	0.9939086294416244
